Course Code,Course Title,Related Courses,Course Type,Course Details,
CS101,Introduction to Computing,,Freshman,"Introduction to computer and its applications, Problem Solving Strategies, Algorithm, Flow Charts, Pseudocode, Algorithm Development (Input/Output, Conditional Statements, Iteration, Tracing of Algorithm), Debugging, Fundamentals of Programming, Control Structure and Dry-run of Algorithms, Structured programming including datatypes, fixed and conditional control structures, functions, arrays, strings, structures and pointers, introduction to stacks, queues and their usage",Multi-Word Expression Tokenizer(MWETokenizer)
CS103,Computer Programming,CS101,Freshman,"Revision of structured programming concepts (pointers, recursion, etc.), Introduction to Object Oriented Programming with C++, functions, arrays and vectors, pointers, Classes/Objects, Operator Overloading, OO concepts: Inheritance, Polymorphism (function overloading and overriding) and, abstraction, virtual functions, streams and file I/O, Generic Programming (Templates), Standard Template Library, Exception Handling, Algorithms for searching and sorting. Efficiency of algorithms. Structured Data Types: Arrays, Records, Sets and Files. Dynamic and pointer variables.Recursion. List processing. Stacks and queues. Program development cycle.Debugging and Testing Programs. Documentation",
CS201 ,Data Structures,CS103,Sophomore,"Complexity analysis, Big O notation,linked lists (singly, doubly, circular, space-efficient, skip lists), stacks, queues, trees (binary, binary search, AVL, B, Red-Black) and their traversals, insertion, deletion and, search, expression trees, priority queue, graphs (representation, depth- and breadth-first traversals, minimum spanning trees, shortest path algorithms), sorting (Bubble, Selection, Insertion, Heap, Mergesort, Quicksort, Counting, Bucket, Radix) , searching (Sequential, Binary, Interpolation) algorithms, hashing, pattern matching (brute force, Rabin-Karp, Boyer-Moore, Knuth-Morris-Pratt), data compression",
CS203,Database Systems,CS201,Sophomore,"Basic database concepts, Conceptual modeling, Relational data model, Relational theory and languages, Database design, SQL, Introduction to query processing and optimization, Introduction to concurrency and recovery with advance topics, ER Modeling, EER modeling, SQL, XML databases, physical optimization of databases, indexing",
CS205,Operating Systems,CS201,Sophomore,"History and Goals, Evolution of multiuser systems, Process and CPU management, Multithreading, Kernel and User Modes, Protection, Problems of cooperative processes, Memory management and virtual memory, Secondary storage, Security and Protection, File systems, I/O systems, Threads, Virtualization, Embedded OS, Process synchronization, Process Synchronization in Distributed Environment, Deadlock handling, Deadlock in Distributed Environment, Introduction to Linux, scripting, kernel programming, writing system calls, Lab assignments relevant to the topics,",
CS211,Discrete Structures,,Sophomore,"Logic, relations, functions, basic set theory, counting, proof techniques, mathematical induction, graph theory, discrete probability, recursion, recurrence relations, and number theory, All the topics will be taught in perspective of their applications in computing,Errors in proof, Disproofs, Partial Proofs,",
CS301,Theory of Automata,CS211,Junior,"Introduction to formal languages and the theory of computation, finite automata, pushdown automata, turing machine, Regular, context-free, and recursively enumerable languages, Equivalance between regular grammars and finite automata, and between context free grammars and pushdown automata, Introduction to transducers, variations of turing machines, universal turing machines and cholmsky’s hierarchy,Deterministic PDAs, Chomsky-normal-form grammars; Some real un-decidable problems (Halting problem, Diagonalization); Epsilon NFA; Pumping Lemma for Regular Languages and Non- Regular Languages,",
CS302,Design and Analysis of Algorithms,CS201,Junior,"Introduction of fundamental techniques for designing and analyzing algorithms, including asymptotic analysis, divide-and-conquer algorithms and recurrences, greedy algorithms, string matching algorithms,dynamicprogramming, graph algorithms, Introduction to NP-complete Problems, Introduction to approximate algorithms, Computational Intractability, Local Search, Randomized Algorithms, Online algorithm",
CS303,Software Engineering,CS309,Junior,"Introduction to engineering concepts, software engineering concepts including requirements engineering, software process models, process improvement, software architecture, software project planning, cost estimation, software testing, and quality assurance,Testing for parallel programs including stress testing, systematic testing, random testing etc, to find interleaving paths and quality assurance,",
CS307,Computer Networks,CS201,Junior,"Basic computer and communication networking technologies, concepts of layering, specifically focusing on the Internet, protocols and algorithms, Anatomy of the Internet, routing, congestion control, and medium access control, basics of wireless and mobile networks,Networking application with Socket programming in C/C++, Design and test networks on network designing tools, Simulation of existing protocols along with designing new protocols in network simulators",
CS309,Object Oriented Analysis and Design,CS201,Junior,"Introduction to the basic concepts of the object
oriented paradigm, elicitation of requirements through use cases,
identification of domain concepts through domain model, selection
of classes and assigning roles and responsibilities to various classes,
identification of relationships among them,andtheir realization to
implement systems",
CS401,Artificial Intelligence,,Senior,"Introduction to AI, Problem Solving, Probability in
AI, Probabilistic Inference, Machine Learning
(Supervised/Unsupervised), Representation with Logic, Planning,
HMMs and Filters, Game Theory, Applications of AI in Computer
Vision, Robotics, Natural Language Processing. Adversarial
search, constraint satisfaction problems, Representation with Logic,
reasoning under uncertainty, Bayesian networks",
CS422,Human Computer Interaction,CS203,Senior,"Introduction to HCI and Interaction Design Basics,
HCI in software Process/Usability Engineering, Design Rules,
Implementation support, Evaluation Techniques, Universal design,
Hierarchical Task Analysis, Universal Design/User Support,
Cognitive, Communication & Collaboration Models, Task analysis
Groupware and CSCW. Human component (information I/O,
memory, thinking, errors and mental models, role of emotion,
individual differences), Computer component (I/O devices, 3D
interaction, virtual reality, memory, processing, networked access),
Interaction component (models, styles), HCI in software
Process/Usability Engineering and design.",
CS449,Professional Issues in IT,CS303,,"Computing Profession: Professional bodies and code of conduct, professional ethics in computing, professional competency and lifelong learning, social context of computing and professional responsibilities; Organizations and their Structures: Company organization, software house organization. Organizational behavior, employee relationship, interpersonal relations, conflict 258 resolution; Human resource management and software engineering; Business practices and the economics of software; Industrial relations in computing industry; Legal issues: Software and computer contracts; Software Industry related Intellectual property rights, copyright law, patents, trademarks and licensing; Privacy and Civil Liberties, regulation and control of personal information, data protection, defamation; computer crime, computer misuse and the criminal law; Risks, safety and liabilities of Computer Based Systems",
CS491,Project-I,,,As per the university’s rules and procedures,
CS492,Project-II,,,As per the university’s rules and procedures,
